p	a_p
3	-3
5	-2
7	-1
11	-5
13	-2
17	0
19	0
23	2
29	6
31	-4
41	-9
43	2
47	-9
53	1
59	8
61	-8
67	8
71	9
73	-1
79	4
83	-15
89	4
97	4
101	3
103	18
107	-12
109	-16
113	-18
127	1
131	-12
137	-6
139	4
149	-5
151	16
157	23
163	-18
167	-12
173	9
179	18
181	5
191	-4
193	-26
197	3
199	2
