T_micro	mA_micro	mB_micro	diff_micro	nA	nB
6000	0	0	0	1	1
6500	0	0	0	1	1
7000	0	0	0	1	1
7500	0	0	0	1	1
8000	0	0	0	1	1
8500	0	0	0	1	1
9000	0	0	0	1	1
9500	0	0	0	1	1
10000	0	0	0	1	1
10500	0	0	0	1	1
11000	0	0	0	1	1
11500	0	0	0	1	1
12000	0	0	0	1	1
12500	0	0	0	1	1
13000	0	0	0	1	1
13500	0	0	0	1	1
14000	0	0	0	1	1
14500	0	0	0	1	1
15000	0	0	0	1	1
15500	0	0	0	1	1
16000	0	0	0	1	1
16500	0	0	0	1	1
17000	0	0	0	1	1
17500	0	0	0	1	1
18000	0	0	0	1	1
18500	0	0	0	1	1
